id,名称,编号,不知道,不知道,描述,不知道,等级,背景,掉落物品[item],耗时(秒),不知道,所需采集点,不知道,派遣栏位,栏位可扩展,不知道,不知道,本级前置条件[task],下级所需金币,不知道,不知道,不知道,不知道,不知道,不知道
5000000,50000000,1,0,0,50000001,50000002,1,sprite/caiji/area/area_1.png,[5000],[360],[60],[5],"[500, 150, 180, 55, 16, 8]",1,0,0,1|10|50|200|600|1200,6000005,2500,10,99021|99051|99081|99111,1,1,8000,2000
5000001,50000010,1,0,0,50000011,50000012,2,sprite/caiji/area/area_1.png,"[5000, 5001, 5014]","[360, 1440, 1440]","[60, 240, 240]","[5, 12, 14]","[500, 150, 180, 55, 16, 8]",1,0,0,1|10|50|200|600|1200,6000021,10000,15,99021|99051|99081|99111,1,1,8500,2200
5000002,50000020,1,0,0,50000021,50000022,3,sprite/caiji/area/area_1.png,"[5000, 5001, 5014, 5002]","[360, 1440, 1440, 8640]","[60, 240, 240, 1440]","[5, 12, 14, 25]","[500, 150, 180, 55, 16, 8]",1,0,0,1|10|50|200|600|1200,6000050,100000,20,99021|99051|99081|99111,2,2,9000,2500
5000003,50000030,1,0,0,50000031,50000032,4,sprite/caiji/area/area_1.png,"[5000, 5001, 5014, 5002, 5015]","[360, 1440, 1440, 8640, 25920]","[60, 240, 240, 1440, 4320]","[5, 12, 14, 25, 30]","[500, 150, 180, 55, 16, 8]",1,0,0,1|10|50|200|600|1200,0,500000,25,99021|99051|99081|99111,2,2,9500,2800
5000004,50000040,1,0,0,50000041,50000042,5,sprite/caiji/area/area_1.png,"[5000, 5001, 5014, 5002, 5015, 5016]","[360, 1440, 1440, 8640, 25920, 51840]","[60, 240, 240, 1440, 4320, 8640]","[5, 12, 14, 25, 30, 39]","[500, 150, 180, 55, 16, 8]",1,0,0,1|10|50|200|600|1200,0,999999,30,99021|99051|99081|99111,3,3,10000,3000
5010000,50100000,2,0,1,50100001,50100002,1,sprite/caiji/area/area_2.png,[1000],"[360, 1080, 4320, 17280, 51840]","[60, 180, 720, 2880, 8640]",[7],"[400, 280, 270, 250, 240]",1,1,1|10|50|200|600,0|0|0|0|0|0,6000002,400,5,99021|99051|99081|99111,1,1,8000,2000
5010001,50100010,2,0,1,50100011,50100012,2,sprite/caiji/area/area_2.png,"[1000, 1001]","[360, 1080, 4320, 17280, 51840]","[60, 180, 720, 2880, 8640]","[7, 20]","[400, 280, 270, 250, 240]",2,1,1|10|50|200|600,0|0|0|0|0|0,6000013,4000,5,99021|99051|99081|99111,1,1,8500,2200
5010002,50100020,2,0,1,50100021,50100022,3,sprite/caiji/area/area_2.png,"[1000, 1001, 1006]","[360, 1080, 4320, 17280, 51840]","[60, 180, 720, 2880, 8640]","[7, 20, 60]","[400, 280, 270, 250, 240]",3,1,1|10|50|200|600,0|0|0|0|0|0,6000037,20000,5,99021|99051|99081|99111,2,2,9000,2500
5010003,50100030,2,0,1,50100031,50100032,4,sprite/caiji/area/area_2.png,"[1000, 1001, 1006, 1009]","[360, 1080, 4320, 17280, 51840]","[60, 180, 720, 2880, 8640]","[7, 20, 60, 110]","[400, 280, 270, 250, 240]",4,1,1|10|50|200|600,0|0|0|0|0|0,6000053,400000,5,99021|99051|99081|99111,2,2,9500,2800
5010004,50100040,2,0,1,50100041,50100042,5,sprite/caiji/area/area_2.png,"[1000, 1001, 1006, 1009, 1010]","[360, 1080, 4320, 17280, 51840]","[60, 180, 720, 2880, 8640]","[7, 20, 60, 110, 150]","[400, 280, 270, 250, 240]",5,1,1|10|50|200|600,0|0|0|0|0|0,0,999999,5,99021|99051|99081|99111,3,3,10000,3000
5020000,50200000,6,0,1,50200001,50200002,1,sprite/caiji/area/area_6.png,[1002],"[1440, 4320, 8640, 17280, 51840]","[240, 720, 1440, 2880, 8640]",[8],"[1200, 1120, 1080, 1000, 960, 960]",1,1,1.5|15|75|300|900,0|0|0|0|0|0,6000021,3000,5,99021|99051|99081|99111,1,1,8000,2000
5020001,50200010,6,0,1,50200011,50200012,2,sprite/caiji/area/area_6.png,"[1002, 1003]","[1440, 4320, 8640, 17280, 51840]","[240, 720, 1440, 2880, 8640]","[8, 22]","[1200, 1120, 1080, 1000, 960, 960]",2,1,1.5|15|75|300|900,0|0|0|0|0|0,6000032,6000,5,99021|99051|99081|99111,1,1,8500,2200
5020002,50200020,6,0,1,50200021,50200022,3,sprite/caiji/area/area_6.png,"[1002, 1003, 1007]","[1440, 4320, 8640, 17280, 51840]","[240, 720, 1440, 2880, 8640]","[8, 22, 65]","[1200, 1120, 1080, 1000, 960, 960]",3,1,1.5|15|75|300|900,0|0|0|0|0|0,6000050,60000,5,99021|99051|99081|99111,2,2,9000,2500
5020003,50200030,6,0,1,50200031,50200032,4,sprite/caiji/area/area_6.png,"[1002, 1003, 1007, 1012]","[1440, 4320, 8640, 17280, 51840]","[240, 720, 1440, 2880, 8640]","[8, 22, 65, 110]","[1200, 1120, 1080, 1000, 960, 960]",4,1,1.5|15|75|300|900,0|0|0|0|0|0,0,600000,5,99021|99051|99081|99111,2,2,9500,2800
5020004,50200040,6,0,1,50200041,50200042,5,sprite/caiji/area/area_6.png,"[1002, 1003, 1007, 1012, 1015]","[1440, 4320, 8640, 17280, 51840]","[240, 720, 1440, 2880, 8640]","[8, 22, 65, 110, 150]","[1200, 1120, 1080, 1000, 960, 960]",5,1,1.5|15|75|300|900,0|0|0|0|0|0,0,999999,5,99021|99051|99081|99111,3,3,10000,3000
5030000,50300000,3,0,0,50300001,50300002,1,sprite/caiji/area/area_3.png,[5007],[2880],[480],[8],"[2400, 800, 240, 240, 64, 64]",1,0,0,1|10|50|200|600|1200,6000046,5000,10,99021|99051|99081|99111,1,1,8000,2000
5030001,50300010,3,0,0,50300011,50300012,2,sprite/caiji/area/area_3.png,"[5007, 5017]","[2880, 8640, 12960, 12960]","[480, 1440]","[8, 13]","[2400, 800, 240, 240, 64, 64]",1,0,0,1|10|50|200|600|1200,6000082,12000,15,99021|99051|99081|99111,1,1,8500,2200
5030002,50300020,3,0,0,50300021,50300022,3,sprite/caiji/area/area_3.png,"[5007, 5017, 5008, 5018]","[2880, 8640, 12960, 12960]","[480, 1440, 2160, 2160]","[8, 13, 24, 26]","[2400, 800, 240, 240, 64, 64]",1,0,0,1|10|50|200|600|1200,6000107,120000,20,99021|99051|99081|99111,2,2,9000,2500
5030003,50300030,3,0,0,50300031,50300032,4,sprite/caiji/area/area_3.png,"[5007, 5017, 5008, 5018, 5009]","[2880, 8640, 12960, 12960, 25920]","[480, 1440, 2160, 2160, 4320]","[8, 13, 24, 26, 37]","[2400, 800, 240, 240, 64, 64]",1,0,0,1|10|50|200|600|1200,0,600000,25,99021|99051|99081|99111,2,2,9500,2800
5030004,50300040,3,0,0,50300041,50300042,5,sprite/caiji/area/area_3.png,"[5007, 5017, 5008, 5018, 5009, 5019]","[2880, 8640, 12960, 12960, 25920, 51840]","[480, 1440, 2160, 2160, 4320, 8640]","[8, 13, 24, 26, 37, 40]","[2400, 800, 240, 240, 64, 64]",1,0,0,1|10|50|200|600|1200,0,999999,30,99021|99051|99081|99111,3,3,10000,3000
5040000,50400000,4,1,1,50400001,50400002,1,sprite/caiji/area/area_4.png,[1028],"[2880, 8640, 12960, 17280, 51840]","[480, 1440, 2160, 2880, 8640]",[10],"[2400, 2400, 2320, 2240, 1920]",1,1,2|20|100|400|1200,0|0|0|0|0|0,6000040,2500,5,99021|99031|99041,6,6,8000,2000
5040001,50400010,4,1,1,50400011,50400012,2,sprite/caiji/area/area_4.png,"[1028, 1004]","[2880, 8640, 12960, 17280, 51840]","[480, 1440, 2160, 2880, 8640]","[10, 23]","[2400, 2400, 2320, 2240, 1920]",2,1,2|20|100|400|1200,0|0|0|0|0|0,6000061,10000,5,99021|99031|99041,6,6,8500,2200
5040002,50400020,4,1,1,50400021,50400022,3,sprite/caiji/area/area_4.png,"[1028, 1004, 1008]","[2880, 8640, 12960, 17280, 51840]","[480, 1440, 2160, 2880, 8640]","[10, 23, 65]","[2400, 2400, 2320, 2240, 1920]",3,1,2|20|100|400|1200,0|0|0|0|0|0,6000085,100000,5,99021|99031|99041,7,7,9000,2500
5040003,50400030,4,1,1,50400031,50400032,4,sprite/caiji/area/area_4.png,"[1028, 1004, 1008, 1029]","[2880, 8640, 12960, 17280, 51840]","[480, 1440, 2160, 2880, 8640]","[10, 23, 65, 115]","[2400, 2400, 2320, 2240, 1920]",4,1,2|20|100|400|1200,0|0|0|0|0|0,0,500000,5,99021|99031|99041,7,7,9500,2800
5040004,50400040,4,1,1,50400041,50400042,5,sprite/caiji/area/area_4.png,"[1028, 1004, 1008, 1029, 1014]","[2880, 8640, 12960, 17280, 51840]","[480, 1440, 2160, 2880, 8640]","[10, 23, 65, 115, 152]","[2400, 2400, 2320, 2240, 1920]",5,1,2|20|100|400|1200,0|0|0|0|0|0,0,999999,5,99021|99031|99041,8,8,10000,3000
5050000,50500000,5,2,1,50500001,50500002,1,sprite/caiji/area/area_5.png,[1005],"[8640, 12960, 17280, 25920, 51840]","[1440, 2160, 2880, 4320, 8640]",[10],"[7200, 7200, 6960, 6720, 5760]",1,1,2.5|25|125|500|1500,0|0|0|0|0|0,6000061,3000,5,99051|99061|99071,9,9,8000,2000
5050001,50500010,5,2,1,50500011,50500012,2,sprite/caiji/area/area_5.png,"[1005, 1019]","[8640, 12960, 17280, 25920, 51840]","[1440, 2160, 2880, 4320, 8640]","[10, 25]","[7200, 7200, 6960, 6720, 5760]",2,1,2.5|25|125|500|1500,0|0|0|0|0|0,6000109,6000,5,99051|99061|99071,9,9,8500,2200
5050002,50500020,5,2,1,50500021,50500022,3,sprite/caiji/area/area_5.png,"[1005, 1019, 1011]","[8640, 12960, 17280, 25920, 51840]","[1440, 2160, 2880, 4320, 8640]","[10, 25, 70]","[7200, 7200, 6960, 6720, 5760]",3,1,2.5|25|125|500|1500,0|0|0|0|0|0,6000125,60000,5,99051|99061|99071,10,10,9000,2500
5050003,50500030,5,2,1,50500031,50500032,4,sprite/caiji/area/area_5.png,"[1005, 1019, 1011, 1020]","[8640, 12960, 17280, 25920, 51840]","[1440, 2160, 2880, 4320, 8640]","[10, 25, 70, 112]","[7200, 7200, 6960, 6720, 5760]",4,1,2.5|25|125|500|1500,0|0|0|0|0|0,0,600000,5,99051|99061|99071,10,10,9500,2800
5050004,50500040,5,2,1,50500041,50500042,5,sprite/caiji/area/area_5.png,"[1005, 1019, 1011, 1020, 1018]","[8640, 12960, 17280, 25920, 51840]","[1440, 2160, 2880, 4320, 8640]","[10, 25, 70, 112, 155]","[7200, 7200, 6960, 6720, 5760]",5,1,2.5|25|125|500|1500,0|0|0|0|0|0,0,999999,5,99051|99061|99071,11,11,10000,3000
5060000,50600000,7,3,1,50600001,50600002,1,sprite/caiji/area/area_7.png,[1021],"[8640, 12960, 17280, 25920, 51840]","[1440, 2160, 2880, 4320, 8640]",[12],"[7920, 7680, 7200, 6480, 5328]",1,1,2.5|25|125|500|1500,0|0|0|0|0|0,6000094,10000,5,99081|99091|99101,12,12,8000,2000
5060001,50600010,7,3,1,50600011,50600012,2,sprite/caiji/area/area_7.png,"[1021, 1022]","[8640, 12960, 17280, 25920, 51840]","[1440, 2160, 2880, 4320, 8640]","[12, 32]","[7920, 7680, 7200, 6480, 5328]",2,1,2.5|25|125|500|1500,0|0|0|0|0|0,6000121,50000,5,99081|99091|99101,12,12,8500,2200
5060002,50600020,7,3,1,50600021,50600022,3,sprite/caiji/area/area_7.png,"[1021, 1022, 1016]","[8640, 12960, 17280, 25920, 51840]","[1440, 2160, 2880, 4320, 8640]","[12, 32, 78]","[7920, 7680, 7200, 6480, 5328]",3,1,2.5|25|125|500|1500,0|0|0|0|0|0,6000142,150000,5,99081|99091|99101,13,13,9000,2500
5060003,50600030,7,3,1,50600031,50600032,4,sprite/caiji/area/area_7.png,"[1021, 1022, 1016, 1023]","[8640, 12960, 17280, 25920, 51840]","[1440, 2160, 2880, 4320, 8640]","[12, 32, 78, 117]","[7920, 7680, 7200, 6480, 5328]",4,1,2.5|25|125|500|1500,0|0|0|0|0|0,0,800000,5,99081|99091|99101,13,13,9500,2800
5060004,50600040,7,3,1,50600041,50600042,5,sprite/caiji/area/area_7.png,"[1021, 1022, 1016, 1023, 1024]","[8640, 12960, 17280, 25920, 51840]","[1440, 2160, 2880, 4320, 8640]","[12, 32, 78, 117, 160]","[7920, 7680, 7200, 6480, 5328]",5,1,2.5|25|125|500|1500,0|0|0|0|0|0,0,999999,5,99081|99091|99101,14,14,10000,3000
5070000,50700000,8,4,1,50700001,50700002,1,sprite/caiji/area/area_8.png,[1025],"[8640, 12960, 17280, 25920, 51840]","[1440, 2160, 2880, 4320, 8640]",[12],"[7920, 7680, 7200, 6480, 5328]",1,1,2.5|25|125|500|1500,0|0|0|0|0|0,6000101,10000,5,99111|99121|99131,15,15,8000,2000
5070001,50700010,8,4,1,50700011,50700012,2,sprite/caiji/area/area_8.png,"[1025, 1013]","[8640, 12960, 17280, 25920, 51840]","[1440, 2160, 2880, 4320, 8640]","[12, 40]","[7920, 7680, 7200, 6480, 5328]",2,1,2.5|25|125|500|1500,0|0|0|0|0|0,6000130,50000,5,99111|99121|99131,15,15,8500,2200
5070002,50700020,8,4,1,50700021,50700022,3,sprite/caiji/area/area_8.png,"[1025, 1013, 1017]","[8640, 12960, 17280, 25920, 51840]","[1440, 2160, 2880, 4320, 8640]","[12, 40, 82]","[7920, 7680, 7200, 6480, 5328]",3,1,2.5|25|125|500|1500,0|0|0|0|0|0,6000151,150000,5,99111|99121|99131,16,16,9000,2500
5070003,50700030,8,4,1,50700031,50700032,4,sprite/caiji/area/area_8.png,"[1025, 1013, 1017, 1026]","[8640, 12960, 17280, 25920, 51840]","[1440, 2160, 2880, 4320, 8640]","[12, 40, 82, 122]","[7920, 7680, 7200, 6480, 5328]",4,1,2.5|25|125|500|1500,0|0|0|0|0|0,0,800000,5,99111|99121|99131,16,16,9500,2800
5070004,50700040,8,4,1,50700041,50700042,5,sprite/caiji/area/area_8.png,"[1025, 1013, 1017, 1026, 1027]","[8640, 12960, 17280, 25920, 51840]","[1440, 2160, 2880, 4320, 8640]","[12, 40, 82, 122, 165]","[7920, 7680, 7200, 6480, 5328]",5,1,2.5|25|125|500|1500,0|0|0|0|0|0,0,999999,5,99111|99121|99131,17,17,10000,3000
