id,序号[text],标题[text],不知道,任务[task]
7001000,70010000,70010001,open,"[6000000, 6000001, 6000002, 6001002, 6000003, 6000004, 6000005, 6000006, 6000007, 6000008, 6000009, 6001003, 6000010, 6000011, 6000012, 6000013, 6000014, 6000015, 6000016, 6000017, 6001000, 6000018, 6000019, 6000020, 6000021, 6000022, 6000023, 6000024, 6000025, 6000026, 6000027, 6000028, 6000029, 6000030, 6000031, 6000032, 6000033, 6001001, 6000034, 6000035]"
7001001,70010010,70010011,wind,"[6000036, 6000037, 6000038, 6000039, 6000040, 6000041, 6000042, 6000043, 6000044, 6000045, 6000046, 6000047, 6000048, 6000049, 6000050, 6000051, 6000052, 6000053, 6000054, 6000055]"
7001002,70010020,70010021,world,"[6000056, 6000057, 6000058, 6000059, 6000060, 6000061, 6000062, 6000063, 6000064, 6000065, 6000066, 6000067, 6000068, 6000069, 6000070, 6000071, 6000072, 6000073, 6000074, 6000075, 6000076, 6000077, 6000078, 6000079, 6000080, 6000081, 6000082, 6000083, 6000084, 6000085, 6000086, 6000087, 6000088, 6000089, 6000090, 6000091, 6000092, 6000093, 6000094, 6000095, 6000096, 6000097, 6000098, 6000099, 6000100, 6000101, 6000102, 6000103, 6000104, 6000105, 6000106, 6000107, 6000108, 6000109, 6000110, 6000111, 6000112, 6000113, 6000114, 6000115, 6000116, 6000117, 6000118]"
7001003,70010030,70010031,danger,"[6000119, 6000120, 6000121, 6000122, 6000123, 6000124, 6000125, 6000126, 6000127, 6000128, 6000129, 6000130, 6000131, 6000132, 6000133, 6000134, 6000135, 6000136, 6000137, 6000138, 6000139, 6000140, 6000141, 6000142, 6000143, 6000144, 6000145, 6000146, 6000147, 6000148, 6000149, 6000150, 6000151, 6000152, 6000153, 6000154, 6000155, 6000156, 6000157, 6000158, 6000159, 6000160, 6000161, 6000162, 6000163, 6000164, 6000165, 6000166, 6000167, 6000168, 6000169, 6000170, 6000171, 6000172, 6000173, 6000174, 6000175, 6000176, 6000177, 6000178, 6000179, 6000180, 6000181, 6000182, 6000183, 6000184, 6000185, 6000186, 6000187, 6000188, 6000189, 6000190, 6000191, 6000192, 6000193, 6000194, 6000195, 6000196, 6000197, 6000198, 6000199, 6000200, 6000201, 6000202, 6000203, 6000204, 6000205, 6000206, 6000207, 6000208, 6000209, 6000210, 6000211, 6000212, 6000213, 6000214, 6000215, 6000216, 6000217, 6000218, 6000219, 6000220, 6000221, 6000222, 6000223, 6000224, 6000225, 6000226, 6000227]"
7001004,70010040,70010041,more,[]
7001005,70010050,,,[]
7001006,70010060,,,[]
7001007,70010070,,,[]
7001008,70010080,,,[]
7001009,70010090,,,[]
7001010,70010100,,,[]
